,,,Normalised retweets,Norm likes,weighted score,,SQUARED ERROR,,,,SUMS,,,,MSE,,
1.67E-01,1.43E-01,2.27E-01,0.200693272,0.253071699,0.2164068,,1.14E-03,1.22E-02,1.14E-04,,,,,,,,
2.55E-01,2.22E-01,3.41E-01,0.190329748,0.275933536,0.216010885,,4.23E-03,2.93E-03,1.55E-02,,,,,,,,
2.17E-01,1.87E-01,2.92E-01,0.151121382,0.361692927,0.214292845,,4.34E-03,3.05E-02,6.07E-03,,,,,,,,
1.53E-01,1.30E-01,2.08E-01,0.177282019,0.298055912,0.213514187,,6.12E-04,2.82E-02,3.22E-05,,,,,,,,
3.39E-01,2.99E-01,4.41E-01,0.16496904,0.325876477,0.213241271,,3.04E-02,7.03E-04,5.19E-02,,,,,,,,
2.34E-01,2.02E-01,3.13E-01,0.177364975,0.296438824,0.21308713,,3.17E-03,8.88E-03,1.01E-02,,,,,,,,
3.78E-01,3.36E-01,4.86E-01,0.162776642,0.329985723,0.212939366,,4.65E-02,4.13E-05,7.44E-02,,,,,,,,
2.75E-01,2.40E-01,3.65E-01,0.181252037,0.285590007,0.212553428,,8.77E-03,2.10E-03,2.31E-02,,,,,,,,
2.29E-01,1.98E-01,3.07E-01,0.164708322,0.320260167,0.211373876,,4.10E-03,1.50E-02,9.18E-03,,,,,,,,
2.58E-01,2.24E-01,3.44E-01,0.16236779,0.320068266,0.209677932,,9.12E-03,9.20E-03,1.80E-02,,,,,,,,
2.15E-01,1.86E-01,2.90E-01,0.183722928,0.266632721,0.208595866,,1.00E-03,6.55E-03,6.65E-03,,,,,,,,
1.51E-01,1.29E-01,2.06E-01,0.186993749,0.25742402,0.20812283,,1.27E-03,1.65E-02,3.35E-06,,,,,,,,
2.28E-01,1.97E-01,3.06E-01,0.152247208,0.337600364,0.207853155,,5.66E-03,1.99E-02,9.56E-03,,,,,,,,
1.94E-01,1.66E-01,2.62E-01,0.154404053,0.330973374,0.207374849,,1.55E-03,2.71E-02,3.01E-03,,,,,,,,
3.58E-01,3.17E-01,4.63E-01,0.169460492,0.292930869,0.206501606,,3.56E-02,5.84E-04,6.57E-02,,,,,,,,
1.49E-01,1.27E-01,2.03E-01,0.218416141,0.177800351,0.206231404,,4.85E-03,2.61E-03,1.17E-05,,,,,,,,
3.17E-01,2.78E-01,4.15E-01,0.161704145,0.30956487,0.206062362,,2.40E-02,9.79E-04,4.36E-02,,,,,,,,
1.74E-01,1.49E-01,2.37E-01,0.19102302,0.239973799,0.205708254,,2.73E-04,8.22E-03,9.80E-04,,,,,,,,
1.29E-01,1.10E-01,1.77E-01,0.160003555,0.309951231,0.204987858,,9.36E-04,4.01E-02,8.03E-04,,,,,,,,
2.38E-01,2.06E-01,3.18E-01,0.16319142,0.301668773,0.204734626,,5.53E-03,9.21E-03,1.29E-02,,,,,,,,
2.51E-01,2.18E-01,3.36E-01,0.225959174,0.152059996,0.203789421,,6.43E-04,4.37E-03,1.74E-02,,,,,,,,
1.98E-01,1.70E-01,2.68E-01,0.17506592,0.270122766,0.203582974,,5.30E-04,9.97E-03,4.14E-03,,,,,,,,
3.80E-01,3.38E-01,4.87E-01,0.17239949,0.273078045,0.202603057,,4.31E-02,4.21E-03,8.12E-02,,,,,,,,
4.34E-02,3.62E-02,5.80E-02,0.142251059,0.342768905,0.202406413,,9.77E-03,9.40E-02,2.08E-02,,,,,,,,
