weighted score,Normalised retweets,Norm likes,,weighted score,Normalised retweets,Norm likes,,SQUARED ERROR,,,,SUM,,,,MSE,,
5.57E-02,3.44E-02,5.58E-02,,0.256395977,0.13342814,0.266182757,,0.040292208,0.009805375,0.044259604,,,,,,,,
3.71E-01,2.15E-01,3.76E-01,,0.253672555,0.12741386,0.265350344,,0.01382937,0.007605612,0.012158669,,,,,,,,
1.21E-01,7.07E-02,1.22E-01,,0.255394002,0.132557106,0.265296557,,0.017954501,0.003831587,0.020443886,,,,,,,,
1.04E-01,6.11E-02,1.04E-01,,0.242902843,0.102224987,0.262666131,,0.019389751,0.001692641,0.02507125,,,,,,,,
1.71E-02,1.23E-02,1.78E-02,,0.245553099,0.110342784,0.262497087,,0.052168062,0.009613645,0.05989232,,,,,,,,
6.61E-02,4.26E-02,6.88E-02,,0.242872357,0.103327112,0.262151315,,0.03124561,0.003688021,0.037396126,,,,,,,,
4.46E-02,2.79E-02,4.46E-02,,0.249250043,0.126027316,0.260376353,,0.041894193,0.009627639,0.046577341,,,,,,,,
5.65E-02,3.25E-02,5.65E-02,,0.255005813,0.143762036,0.259963989,,0.039411664,0.012388346,0.041385047,,,,,,,,
6.47E-02,4.63E-02,6.46E-02,,0.268572114,0.184422125,0.259485031,,0.041558237,0.019068242,0.037973456,,,,,,,,
4.61E-02,2.68E-02,4.61E-02,,0.242421163,0.109845051,0.258765313,,0.038537065,0.006903449,0.04520808,,,,,,,,
1.96E-01,1.13E-01,1.98E-01,,0.244518605,0.117145143,0.258253059,,0.002379759,1.46604E-05,0.003672364,,,,,,,,
7.23E-02,4.96E-02,7.56E-02,,0.241904932,0.110787189,0.257707508,,0.028757232,0.003742234,0.033146925,,,,,,,,
1.62E-01,8.96E-02,1.64E-01,,0.25096336,0.138091429,0.257320756,,0.007851071,0.002355908,0.008743994,,,,,,,,
2.92E-02,2.26E-02,2.89E-02,,0.267222597,0.186993749,0.256672754,,0.056667362,0.027023831,0.05186482,,,,,,,,
5.94E-02,3.31E-02,5.95E-02,,0.247061143,0.128699671,0.25646273,,0.035220618,0.009146035,0.038798776,,,,,,,,
1.67E-01,9.40E-02,1.69E-01,,0.252503923,0.151091755,0.253642769,,0.00730443,0.003253795,0.007216088,,,,,,,,
5.35E-02,3.09E-02,5.38E-02,,0.255700895,0.160625722,0.253550563,,0.040871885,0.01682997,0.039894154,,,,,,,,
3.84E-02,2.76E-02,3.82E-02,,0.249660588,0.143631677,0.253284191,,0.044650335,0.013454835,0.046275395,,,,,,,,
3.85E-01,2.44E-01,3.90E-01,,0.240602161,0.117642876,0.253102341,,0.020858747,0.016036281,0.018787962,,,,,,,,
2.82E-01,1.53E-01,2.85E-01,,0.229141431,0.084934672,0.252797549,,0.002809899,0.004674513,0.001030979,,,,,,,,
